,Logistic Regression,KNN,Naive Bayes (Gaussian),SVM,Random Forest,Gradient Boosting (LightGBM)
intents_1,"{'accuracy_score': 0.29, 'precision_score': 0.16, 'recall_score': 0.19, 'f1_score': 0.13}","{'accuracy_score': 0.42, 'precision_score': 0.38, 'recall_score': 0.39, 'f1_score': 0.34}","{'accuracy_score': 0.43, 'precision_score': 0.37, 'recall_score': 0.4, 'f1_score': 0.35}","{'accuracy_score': 0.37, 'precision_score': 0.25, 'recall_score': 0.25, 'f1_score': 0.22}","{'accuracy_score': 0.43, 'precision_score': 0.37, 'recall_score': 0.38, 'f1_score': 0.34}","{'accuracy_score': 0.38, 'precision_score': 0.33, 'recall_score': 0.34, 'f1_score': 0.31}"
intents_2,"{'accuracy_score': 0.76, 'precision_score': 0.78, 'recall_score': 0.77, 'f1_score': 0.74}","{'accuracy_score': 0.69, 'precision_score': 0.74, 'recall_score': 0.74, 'f1_score': 0.69}","{'accuracy_score': 0.72, 'precision_score': 0.69, 'recall_score': 0.66, 'f1_score': 0.63}","{'accuracy_score': 0.79, 'precision_score': 0.81, 'recall_score': 0.78, 'f1_score': 0.77}","{'accuracy_score': 0.79, 'precision_score': 0.81, 'recall_score': 0.81, 'f1_score': 0.78}","{'accuracy_score': 0.59, 'precision_score': 0.59, 'recall_score': 0.54, 'f1_score': 0.54}"
intents_3,"{'accuracy_score': 0.32, 'precision_score': 0.21, 'recall_score': 0.16, 'f1_score': 0.16}","{'accuracy_score': 0.44, 'precision_score': 0.4, 'recall_score': 0.35, 'f1_score': 0.35}","{'accuracy_score': 0.49, 'precision_score': 0.43, 'recall_score': 0.46, 'f1_score': 0.41}","{'accuracy_score': 0.46, 'precision_score': 0.4, 'recall_score': 0.36, 'f1_score': 0.35}","{'accuracy_score': 0.48, 'precision_score': 0.43, 'recall_score': 0.41, 'f1_score': 0.39}","{'accuracy_score': 0.45, 'precision_score': 0.4, 'recall_score': 0.41, 'f1_score': 0.37}"
intents_4,"{'accuracy_score': 0.26, 'precision_score': 0.21, 'recall_score': 0.16, 'f1_score': 0.15}","{'accuracy_score': 0.45, 'precision_score': 0.41, 'recall_score': 0.41, 'f1_score': 0.37}","{'accuracy_score': 0.53, 'precision_score': 0.49, 'recall_score': 0.52, 'f1_score': 0.46}","{'accuracy_score': 0.44, 'precision_score': 0.4, 'recall_score': 0.39, 'f1_score': 0.35}","{'accuracy_score': 0.48, 'precision_score': 0.44, 'recall_score': 0.42, 'f1_score': 0.39}","{'accuracy_score': 0.43, 'precision_score': 0.39, 'recall_score': 0.37, 'f1_score': 0.35}"
intents_5,"{'accuracy_score': 0.32, 'precision_score': 0.21, 'recall_score': 0.16, 'f1_score': 0.16}","{'accuracy_score': 0.44, 'precision_score': 0.4, 'recall_score': 0.35, 'f1_score': 0.35}","{'accuracy_score': 0.49, 'precision_score': 0.43, 'recall_score': 0.46, 'f1_score': 0.41}","{'accuracy_score': 0.46, 'precision_score': 0.4, 'recall_score': 0.36, 'f1_score': 0.35}","{'accuracy_score': 0.5, 'precision_score': 0.44, 'recall_score': 0.44, 'f1_score': 0.41}","{'accuracy_score': 0.45, 'precision_score': 0.4, 'recall_score': 0.41, 'f1_score': 0.37}"
intents_6,"{'accuracy_score': 0.32, 'precision_score': 0.21, 'recall_score': 0.16, 'f1_score': 0.16}","{'accuracy_score': 0.44, 'precision_score': 0.4, 'recall_score': 0.35, 'f1_score': 0.35}","{'accuracy_score': 0.49, 'precision_score': 0.43, 'recall_score': 0.46, 'f1_score': 0.41}","{'accuracy_score': 0.46, 'precision_score': 0.4, 'recall_score': 0.36, 'f1_score': 0.35}","{'accuracy_score': 0.5, 'precision_score': 0.44, 'recall_score': 0.43, 'f1_score': 0.41}","{'accuracy_score': 0.45, 'precision_score': 0.4, 'recall_score': 0.41, 'f1_score': 0.37}"
intents_7,"{'accuracy_score': 0.57, 'precision_score': 0.58, 'recall_score': 0.42, 'f1_score': 0.46}","{'accuracy_score': 0.63, 'precision_score': 0.65, 'recall_score': 0.66, 'f1_score': 0.61}","{'accuracy_score': 0.87, 'precision_score': 0.88, 'recall_score': 0.93, 'f1_score': 0.89}","{'accuracy_score': 0.6, 'precision_score': 0.62, 'recall_score': 0.47, 'f1_score': 0.51}","{'accuracy_score': 0.8, 'precision_score': 0.83, 'recall_score': 0.85, 'f1_score': 0.83}","{'accuracy_score': 0.6, 'precision_score': 0.59, 'recall_score': 0.58, 'f1_score': 0.55}"
intents_8,"{'accuracy_score': 0.82, 'precision_score': 0.79, 'recall_score': 0.77, 'f1_score': 0.77}","{'accuracy_score': 0.8, 'precision_score': 0.78, 'recall_score': 0.79, 'f1_score': 0.77}","{'accuracy_score': 0.81, 'precision_score': 0.8, 'recall_score': 0.82, 'f1_score': 0.8}","{'accuracy_score': 0.86, 'precision_score': 0.82, 'recall_score': 0.84, 'f1_score': 0.83}","{'accuracy_score': 0.81, 'precision_score': 0.79, 'recall_score': 0.79, 'f1_score': 0.77}","{'accuracy_score': 0.81, 'precision_score': 0.79, 'recall_score': 0.82, 'f1_score': 0.79}"
intents_9,"{'accuracy_score': 0.33, 'precision_score': 0.25, 'recall_score': 0.16, 'f1_score': 0.17}","{'accuracy_score': 0.56, 'precision_score': 0.44, 'recall_score': 0.35, 'f1_score': 0.39}","{'accuracy_score': 0.33, 'precision_score': 0.2, 'recall_score': 0.12, 'f1_score': 0.15}","{'accuracy_score': 0.33, 'precision_score': 0.22, 'recall_score': 0.14, 'f1_score': 0.16}","{'accuracy_score': 0.44, 'precision_score': 0.33, 'recall_score': 0.27, 'f1_score': 0.29}","{'accuracy_score': 0.22, 'precision_score': 0.12, 'recall_score': 0.03, 'f1_score': 0.05}"
intents_10,"{'accuracy_score': 1.0, 'precision_score': 1.0, 'recall_score': 1.0, 'f1_score': 1.0}","{'accuracy_score': 0.67, 'precision_score': 0.5, 'recall_score': 0.33, 'f1_score': 0.4}","{'accuracy_score': 0.67, 'precision_score': 0.75, 'recall_score': 0.75, 'f1_score': 0.67}","{'accuracy_score': 1.0, 'precision_score': 1.0, 'recall_score': 1.0, 'f1_score': 1.0}","{'accuracy_score': 0.67, 'precision_score': 0.5, 'recall_score': 0.33, 'f1_score': 0.4}","{'accuracy_score': 0.33, 'precision_score': 0.5, 'recall_score': 0.17, 'f1_score': 0.25}"
